Wall time,Step,Value
1701163740.0907986,0,4.063060760498047
1701164985.7990766,1,2.4142236709594727
1701166351.217991,2,1.8573321104049683
1701167714.5625184,3,1.6347007751464844
1701169038.469672,4,1.4897494316101074
1701170362.5899222,5,1.3694647550582886
1701171687.429698,6,1.281152367591858
1701173041.9256907,7,1.1902621984481812
1701174407.308797,8,1.1199672222137451
1701175774.7343967,9,1.0503251552581787
1701177143.8710291,10,0.9922275543212891
1701178471.570281,11,0.9310404062271118
1701179805.3365624,12,0.877640962600708
1701181133.862837,13,0.8241235613822937
1701182463.0553591,14,0.7774638533592224
1701183826.733427,15,0.7320131659507751
1701185165.8422792,16,0.6869809031486511
1701186493.614509,17,0.6502067446708679
1701187814.2996898,18,0.616419792175293
1701189138.4142175,19,0.5806764364242554
1701190463.987178,20,0.5525238513946533
