Wall time,Step,Value
1701163717.3578024,0,0.0033585221972316504
1701165783.6870286,1,0.25398823618888855
1701167823.9184144,2,0.26133501529693604
1701169850.025729,3,0.3031066358089447
1701171881.4598815,4,0.31192275881767273
1701173906.4842064,5,0.32808563113212585
1701175933.1380079,6,0.33186396956443787
1701177962.2359393,7,0.35579344630241394
1701179992.4227808,8,0.37069690227508545
1701182033.5340502,9,0.3654491901397705
1701184075.1682308,10,0.37384551763534546
1701186127.3458548,11,0.38287153840065
1701188168.4067752,12,0.39231738448143005
1701190209.1777449,13,0.40218302607536316
1701192247.6406503,14,0.4147774875164032
1701194302.9783401,15,0.4363979995250702
1701196363.4659307,16,0.42548277974128723
1701198448.4476,17,0.4414357542991638
1701200555.9195893,18,0.45025187730789185
1701202642.762312,19,0.44227540493011475
1701204706.1371493,20,0.4659949541091919
