Wall time,Step,Value
1700612929.9878337,0,0.018681779503822327
1700614230.8046854,1,0.3530646562576294
1700615531.5232747,2,0.40344247221946716
1700616831.221597,3,0.4235936105251312
1700618132.2528517,4,0.4326196610927582
1700619431.3772714,5,0.45025187730789185
1700620727.7222304,6,0.4510915279388428
1700622023.077293,7,0.4456339180469513
1700623319.0743804,8,0.4303106665611267
1700624616.5546265,9,0.41876575350761414
1700625912.0802932,10,0.4710327386856079
1700627206.70356,11,0.46263644099235535
1700628502.1822634,12,0.4771200716495514
1700629796.720939,13,0.45025187730789185
1700631091.3199818,14,0.44416457414627075
1700632386.0537317,15,0.4628463387489319
1700633681.335211,16,0.4752309024333954
1700634975.8285675,17,0.43618807196617126
1700636227.6472044,18,0.4926532208919525
1700637462.168227,19,0.47816962003707886
1700638697.3509307,20,0.4561293125152588
