Wall time,Step,Value
1701163740.0903013,0,0.011754827573895454
1701165103.850699,1,0.49412259459495544
1701166468.7625299,2,0.510915219783783
1701167831.227342,3,0.5778757333755493
1701169153.9989455,4,0.5419815182685852
1701170477.7610283,5,0.6099916100502014
1701171802.660426,6,0.6307724714279175
1701173160.9989996,7,0.5950881838798523
1701174524.029758,8,0.4783795177936554
1701175891.3455997,9,0.6353904008865356
1701177259.790256,10,0.6221662759780884
1701178587.743228,11,0.5524768829345703
1701179921.8056893,12,0.6603694558143616
1701181249.6421988,13,0.6526028513908386
1701182581.9196515,14,0.6609991788864136
1701183943.263172,15,0.6341309547424316
1701185282.8436153,16,0.6565911173820496
1701186610.4643712,17,0.6553316712379456
1701187930.8666105,18,0.6139798760414124
1701189254.1577919,19,0.6360201239585876
1701190579.410983,20,0.6540722250938416
