Wall time,Step,Value
1700741190.3418322,0,0.00944584421813488
1700742475.5916955,1,0.3618807792663574
1700743780.174752,2,0.44668346643447876
1700745068.8787246,3,0.4424853026866913
1700746349.8746445,4,0.4668346047401428
1700747626.749774,5,0.4794290363788605
1700748899.2660284,6,0.4895046055316925
1700750170.190086,7,0.4727120101451874
1700751439.7954888,8,0.506507158279419
1700752703.6807861,9,0.503778338432312
1700753972.1808987,10,0.4913937747478485
1700755241.0546198,11,0.4964315593242645
1700756508.6479256,12,0.495591938495636
1700757784.4835684,13,0.5092359185218811
1700759062.09408,14,0.509026050567627
1700760355.1115558,15,0.5002099275588989
1700761672.9121583,16,0.494332492351532
1700763012.0440798,17,0.5111250877380371
1700764349.4752903,18,0.524139404296875
1700765669.3576841,19,0.5230898261070251
1700766981.92115,20,0.5035684108734131
